"id","name","brand"
"6130008","ESSO PARFUMS","Esso Express"
"84200012","ESSO CARPENTRAS","Esso"
"6800006","AGIP CROS DE CAGNES BD DE LA PLAGE","Agip"
"11290001","ROMPETROL Arzens Sud","Dyneff"
"13007001","ESSO LE PHARO","Esso Express"
"4000003","ESSO DES CIMES","Esso Express"
"13009008","RELAIS TOTAL PARC SPORTS","Total Access"
"4130005","RELAIS DE MANOSQUE","Total"
"78360004","RELAIS DE MONTESSON","Total Access"
"8270002","RELAIS DES ARDENNES","Total"
"54200005","BMCV SARL","Avia"
"6650001","CASINO SUPERMARCHE","Casino"
"4130004","RELAIS DE VOLX","Total"
"30800002","ST GILLES","Intermarché"
"35140002","TOTAL Garage du Cormier RENAULT","Total"
"27930002","CARREFOUR EVREUX","Carrefour"
"63410004","GARAGE BARD R. SARL STATION TOTAL","Total"
"9400002","SARL J. CHAGUE","Esso"
"89000004","AUXERRE AUTOMOBILE","Total"
"1380001","DATS BAGE LA VILLE","Colruyt"
"9300006","SAS NICO","Intermarché"
"13400007","ESSO LA DEMANDE","Esso Express"
"62116001","SARL DUPRIEZ DISTRI","Carrefour Contact"
"12300003","ESSO GAMBETTA 12","Esso Express"
"13110005","RELAIS PONT DU ROY","Total"
"87570002","CARREFOUR CONTACT","Carrefour Contact"
"88400002","INTERMARCHE GERARDMER","Intermarché"
"14000019","RELAIS SAINT-GILLES","Total"
"27300006","RELAIS MALBROUCK","Total Access"
"7260002","INTERMARCHE ROSIERES","Intermarché"
"13680008","RELAIS SENEGUIER","Total"
"13920005","Esso Les Remparts","Esso"
"14130007","RELAIS AMIRAL HAMELIN","Total Access"
"14000020","RELAIS BEAU SITE","Total Access"
"77380001","INTERMARCHE COMBS LA VILLE","Intermarché"
"57420006","AEROP.METZ NANCY LORRAINE/AIR TOTAL","Total"
"21000028","Total Route blanche","Total"
"34120002","Station Total","Total"
"18000017","RELAIS DES PRES LE ROI","Total"
"6200014","Esso La Manda","Esso Express"
"53950001","SARL LUDIS","Carrefour Contact"
"15300004","Station 24/24 Intermarché","Intermarché"
"44580001","SARL BOUYER ET FILS","Total"
"4320001","SARL  ENERGY ENTREVAUX   JAUME","Agip"
"14123007","RELAIS D.CALLOUINS","Total Access"
"13097001","GEANT CASINO","Géant"
"68110006","RELAIS ILE NAPOLEON","Total Access"
"14160004","RELAIS DIVES-SUR-MER","Total"
"62136001","pierre wattez","Indépendant sans enseigne"
"14123008","RELAIS D&#039,IFS","Total"
"14150001","ESSO RIVA BELLA","Esso Express"
"13012016","INTERMARCHE  St Jean du désert","Intermarché"
"11210003","STATION  ELAN","Elan"
"6670007","RELAIS COLOMARS LES VALLEES","Total Access"
"13008013","AGIP MARSEILLE CLOT BEY","Agip"
"31220001","SUPER U","Système U"
"16150002","MR BOURDIER PROPRIETAIRE","Total"
"11400002","DYNEFF Castelnaudary","Dyneff"
"61000008","BAYI CARBURANTS","Indépendant sans enseigne"
"13010005","ESSO LA TIMONE","Esso Express"
"74330002","RELAIS D&#039,EPAGNY","Total"
"13008004","ESSO SABLIERS","Esso Express"
"69480002","SARL RONGEAT","Avia"
"13014013","LTE CARBURANT DISTRIBUTION","Indépendant sans enseigne"
"13015013","AGIP MARSEILLE MADRAGUE","Agip"
"51400003","STATION CLEMENCEAU","Avia"
"13014012","BP MARSEILLE PARKING JOF","BP"
"16170001","Super U ROUILLAC","Système U"
"13015016","AGIP MARSEILLE RN DE ST ANTOINE","Agip"
"13600015","RELAIS LES FELIBRES","Total Access"
"13500005","ESSO CROIX SAINTE","Esso Express"
"10110001","ESSO BARSEQUANAISE","Esso Express"
"83330003","CASINO SUPERMARCHE","Casino"
"77171003","RELAIS DE SOURDUN","Total Access"
"62250010","RELAIS EPITRE","Total"
"13100005","ESSO TOURELLES","Esso Express"
"12200003","ESSO LA ROCADE","Esso Express"
"2200014","RELAIS SOISSONS","Total"
"12150006","RELAIS SEVERAC LE CHÂTEAU","Total"
"92420002","STATION U","Système U"
"54700006","INTERMARCHE PONT A MOUSSON","Intermarché"
"31440002","INTERMARCHE CIERP-GAUD","Intermarché"
"8200004","ESSO LAMARCK","Esso Express"
"64220002","SARL HANDY","Total"
"57430004","STATION TOTAL KL DISTRIBUTION","Total"
"32200006","CANTONI","Elan"
"20240002","SAS MARTINEZ","Total"
"33390001","SARL LE RELAIS DU PONTET","Total"
"77400011","RELAIS DES COTEAUX","Total Access"
"11100010","ESSO CROIX SUD OUEST","Esso Express"
"74930001","Carrefour Market","Carrefour Market"
"13630001","STATION SERVICE LANTHEAUME","Avia"
"15400004","STATION total contact","Total"
"64320004","Casino Supermarché Domaine du Roy","Casino"
"15110002","ELAN","Elan"
"13660002","CAP 9","Indépendant sans enseigne"
"13140010","RELAIS DU MAS NEUF","Total Access"
"10000005","ESSO ST JULLIEN","Esso Express"
"13500014","BP MARTIGUES SAINTE ANNE  SPEEDY","BP"
"11100009","ESSO MISTRAL","Esso Express"
"31600001","SUPER U","Système U"
"1350003","Intermarché BEON","Intermarché"
"2200001","CORA SOISSONS","CORA"
"3360001","Intermarché","Intermarché"
"92210009","RELAIS ST CLOUD DASSAULT","Total Access"
"59494009","RELAIS PETITE FORET","Total Access"
"6000029","RELAIS DE LEVENS","Total Access"
"26902001","GEANT CASINO VALENCE 2","Géant"
"13710002","ESSO 4 CHEMINS","Esso Express"
"25300006","CENTRE E. LECLERC","Leclerc"
"6230002","ESSO CORNE D&#039,OR","Esso Express"
"6600010","ESSO TERRES BLANCHES","Esso Express"
"11370004","ESSO PORT LEUCATE","Esso"
"13270004","ESSO FOS OUEST","Esso Express"
"13320004","ESSO VIOLESI","Esso Express"
"17540001","GARAGE BERCHOTTEAU","Elan"
"25490001","INTERMARCHE - SAS JILAV","Intermarché"
"21000027","RELAIS ROUTE BLANCHE","Total"
"59114003","Carrefour Market","Carrefour Market"
"20600004","SARL CIAVALDINI STRABONI","Total"
"21000011","ESSO BOURROCHES","Esso Express"
"20620004","SARL Relais de Biguglia","Esso"
"21000026","RELAIS CHARTREUX","Total"
"50700004","Station E.Leclerc VALOGNES","Leclerc"
"18300005","DATS SAINT SATUR","Colruyt"
"16360001","LAUTRET SA","Total"
"18310001","CARREFOUR CONTACT Graçay","Carrefour Contact"
"18000019","RELAIS BOURGES AVENIR","Total Access"
